Q_ID,Avg_Distance
5239,2.0
913,4.0
205,3.0
2254,3.0
2007,2.667
1829,2.0
1144,4.0
840,3.333
4468,1
713,4.0
4838,4.0
3457,3.0
261,3.333
245,3.5
768,2.0
1792,2.0
1906,2.0
4140,3.0
4932,2.0
218,2.0
4598,3.333
1629,2.0
5324,3.333
4465,4.25
3437,4.0
1806,2.0
3680,1
4828,2.5
2279,2.7
54,2.333
1308,5.0
3463,4.0
2788,4.0
2277,2.5
1274,3.0
1764,2.0
2758,4.0
838,2.5
760,2.0
3113,4.5
793,2.0
2941,3.0
2818,2.0
4946,2.5
2167,4.0
356,1
3764,3.0
4393,4.0
1023,3.5
3101,3.333
646,4.0
4523,2.0
2402,2.667
5150,1
5067,4.0
2963,2.0
4730,2.0
1576,2.0
570,3.0
376,2.0
5418,4.0
1867,2.0
2371,2.0
654,1.428
1908,2.0
828,3.0
3114,4.0
2278,2.0
3715,4.0
5208,3.5
2989,2.667
1333,4.0
3033,2.0
2911,2.0
1717,2.0
2188,8.0
5309,3.0
585,3.0
4991,4.0
5202,3.0
1402,3.0
4376,2.5
2006,2.0
1339,2.0
3787,4.0
3109,4.0
2212,5.0
5243,2.0
4563,3.2
1800,2.0
2657,2.0
459,1.0
1877,2.0
263,4.0
2585,3.0
3287,1
2194,4.0
543,2.0
1729,2.0
4647,2.0
2578,3.333
1742,2.0
5370,3.0
4090,3.0
3242,2.0
5267,4.0
3759,2.0
1171,2.0
2170,2.667
2021,2.5
4599,4.0
4416,6.5
2153,2.0
4789,2.667
3510,2.667
4781,3.5
3272,2.0
2966,2.0
1797,2.0
1134,4.0
4175,4.0
4043,3.0
745,2.0
386,3.0
899,4.5
1253,1.5
5141,4.0
1311,3.0
3459,3.5
4886,4.0
521,2.333
3153,1
3127,2.0
4882,2.75
3835,3.2
4335,1
2060,2.667
4533,2.0
95,2.8
939,2.0
4399,3.0
2186,4.0
5251,2.5
2787,4.0
914,4.0
2405,2.0
3562,2.0
1296,4.0
3717,1
27,3.0
2158,2.0
4101,6.0
1464,2.667
4159,3.333
872,3.0
5123,3.6
2445,3.5
5235,2.667
4989,4.0
1630,4.0
3064,1
1324,3.0
4419,4.0
4345,2.667
5,4.0
4907,3.0
2656,4.0
4003,2.0
160,2.0
917,2.5
2974,4.0
2520,2.0
1962,2.667
475,2.667
1974,2.0
4648,2.5
702,3.0
3982,3.0
567,2.333
4364,3.333
1031,4.5
1052,3.0
5405,2.5
3894,2.0
4504,3.0
1353,5.0
2172,2.0
4323,3.0
4970,3.0
3467,4.0
1736,3.333
4418,2.0
1648,3.0
3269,1
3060,1
3589,2.8
4240,4.0
3699,2.667
992,3.333
2031,1.5
1841,2.0
525,3.0
2770,1
173,2.0
4820,3.333
4538,3.0
1886,1.667
4821,4.0
1805,2.0
59,1.5
582,2.0
5170,3.333
483,2.5
1876,2.0
258,2.0
2707,5.0
581,3.5
4212,1
1950,2.0
2282,1
3977,4.0
1756,2.0
1084,2.0
4678,4.0
4721,3.0
3873,4.0
1991,2.0
3875,4.0
3335,2.0
1560,3.5
773,2.5
795,1.0
5399,2.0
3532,3.333
2903,3.0
3470,4.0
3368,3.0
3826,3.0
444,4.0
5354,3.0
5294,2.667
807,2.0
497,3.25
3299,3.0
2780,2.0
896,2.0
2037,2.0
1570,2.0
1559,4.0
4394,4.0
3676,2.0
1149,3.0
1504,3.0
3790,2.0
2047,2.0
618,3.0
3631,2.0
4509,4.0
803,1
415,5.0
5343,2.667
4429,4.0
121,2.25
765,4.0
1937,4.0
1363,3.333
3330,2.667
3979,2.0
3944,4.0
1752,4.0
3286,3.333
481,3.333
1349,4.0
3105,2.0
18,1.0
3199,3.0
2173,2.667
3728,3.5
2337,6.0
3466,5.0
4553,4.0
5423,2.0
3987,2.0
1269,3.0
1556,3.0
2431,2.5
1784,1
480,2.0
4745,4.0
4442,2.0
500,3.5
2570,3.333
469,2.0
411,2.0
4786,4.0
3906,4.0
4120,2.0
4351,3.0
1290,2.0
466,4.0
4161,2.0
657,4.0
1523,2.0
562,3.5
4875,2.667
557,1
1927,3.0
3308,2.0
983,4.0
4667,4.0
2017,2.0
4743,4.0
4871,3.0
326,4.0
5074,4.0
672,2.0
3435,3.0
5386,1
4782,3.333
4631,4.0
4283,4.0
2592,3.333
2137,1
1674,2.667
2574,3.6
1956,2.0
2176,2.0
3243,4.0
1073,1
5288,3.5
2458,2.0
3746,3.0
2591,2.0
595,4.0
77,3.5
3755,3.0
5089,3.333
4613,2.0
820,2.0
601,2.0
4405,4.667
1747,2.0
4145,4.0
1086,4.0
2860,3.0
564,2.25
2002,4.0
3028,3.0
2335,3.0
1293,4.0
3590,2.0
4451,1
2479,2.25
5011,3.333
5358,2.8
65,2.0
4544,3.0
2453,4.0
5435,3.0
849,1
1101,1
946,3.0
877,2.333
2232,4.0
2309,2.0
4955,6.0
1726,2.0
2809,2.9
1668,1
5196,2.0
2163,3.0
4141,2.5
2058,4.0
417,2.0
757,4.0
5197,4.5
2267,3.0
362,2.5
30,2.5
2733,3.0
1072,1.5
5220,2.5
2146,4.0
3620,2.0
4520,2.0
3504,2.0
4595,4.0
80,3.6
617,3.0
1222,4.0
4470,3.333
296,3.0
3025,4.0
4772,4.0
4527,4.0
1214,3.333
3521,4.0
1045,2.0
343,3.0
2526,2.0
2988,2.0
327,3.5
2932,4.0
1721,2.0
2045,2.0
843,1
2898,3.0
4587,3.0
1267,2.5
1940,2.0
1332,2.667
1451,3.0
3378,2.0
204,2.0
1470,5.0
2722,2.7
3373,4.0
2033,2.0
1305,2.0
886,3.0
3134,3.0
318,3.0
3856,2.0
1823,1.5
1635,4.0
3771,2.667
2865,4.0
2501,6.0
1865,2.0
1827,3.0
194,3.667
5407,2.0
1583,2.0
3265,1
2690,6.0
2283,3.0
569,3.0
2287,6.0
2877,4.0
5256,3.0
4174,4.0
3275,2.5
2713,1
227,3.0
945,3.0
2140,4.0
1463,3.0
4757,1
2175,2.0
314,1
889,2.0
4888,4.0
3560,3.333
2832,2.0
3575,3.0
4967,4.0
4190,1
948,3.0
3156,2.0
4724,2.0
1558,2.0
2087,4.0
364,4.0
3573,3.0
14,3.25
4260,3.0
4411,2.0
1615,2.667
2984,4.0
3534,3.5
574,2.5
5442,2.667
2705,4.0
5105,4.0
2572,4.0
1021,1.0
2461,2.667
4155,3.867
2534,2.667
3346,3.0
2673,3.5
3297,3.0
2423,2.5
4542,2.0
1043,3.0
1572,2.0
3445,3.0
5448,3.25
3106,2.0
1426,3.0
5043,4.0
4663,4.0
2466,4.0
3327,2.0
4489,2.0
4,2.5
2490,2.0
2351,2.0
1722,2.5
3522,3.0
4752,3.0
5364,2.667
2640,3.0
3810,2.667
3623,4.0
1751,2.0
4188,4.0
3877,3.5
1391,2.667
5398,4.0
695,2.0
2325,4.0
4223,2.0
5439,3.0
5186,1
5073,3.0
2746,2.0
766,3.333
1925,2.5
2543,4.0
1632,2.0
1208,4.0
201,2.0
379,3.333
3893,2.0
5008,2.0
597,3.0
3731,2.0
3396,1
5160,3.333
4716,3.333
1593,2.0
3146,4.0
4050,2.667
3274,3.0
1999,2.0
1209,3.5
5375,4.0
46,2.5
874,1.5
3483,3.0
1793,2.0
1441,3.5
4244,3.0
3806,4.0
412,3.0
4567,4.0
2042,3.0
995,3.0
3740,2.0
1093,3.0
3807,4.0
4352,2.0
4579,1
4878,2.5
2600,2.0
3626,3.0
5019,2.0
4136,4.0
3496,2.0
3653,2.0
1304,5.0
3889,4.0
3687,3.0
2124,2.0
2026,2.4
5224,2.0
2272,3.0
4271,4.0
3970,3.5
5135,2.0
1960,4.0
2250,2.0
3604,4.0
635,4.0
2341,4.0
1921,2.0
2226,3.333
2752,2.0
2620,4.0
4425,3.0
661,2.8
1236,3.0
1895,1
3138,2.667
1252,3.0
1753,2.0
527,1
3399,4.0
3340,3.333
2711,1
4446,2.0
3817,4.0
3407,1
511,2.0
1695,2.0
3442,4.0
3191,4.0
4785,3.333
161,2.0
4717,4.0
3117,4.0
3908,3.0
49,3.667
2882,2.0
2447,2.0
3195,4.0
3433,1
4410,2.667
4474,2.667
4942,3.0
1807,3.0
4000,1
1798,2.0
2236,2.0
3571,3.5
238,4.0
3186,2.0
2754,2.0
3313,3.0
3829,2.0
1046,4.0
5098,1
221,3.0
3228,4.0
4849,2.667
4624,1
5432,4.0
223,2.667
688,4.0
5266,3.0
3512,2.0
1112,4.5
3783,4.0
1489,2.667
2132,3.0
2682,2.0
1734,2.0
3725,3.0
2678,2.0
2765,3.5
2280,4.0
3454,3.714
2067,2.0
671,3.0
3853,4.0
159,4.0
427,3.5
2867,4.0
1837,2.0
5326,3.5
563,4.0
5340,4.0
330,3.0
255,4.0
1634,4.0
167,3.0
5090,3.333
1249,3.0
1955,2.0
1035,2.0
3880,4.0
938,3.5
4621,2.0
1786,1
2100,2.0
3022,2.0
1375,3.0
4964,4.0
4975,2.0
1342,3.0
2549,1
4741,3.0
211,2.5
2556,4.0
3075,3.333
3250,4.0
1625,2.0
623,4.0
4851,3.333
5139,2.0
1990,1
835,1.667
2471,4.0
4919,2.0
4637,3.0
337,5.0
2845,6.0
4365,2.0
5420,4.667
3036,4.0
565,2.5
5305,3.0
2796,3.0
104,3.0
4016,2.0
865,3.0
3552,3.0
2968,3.0
5207,3.0
3767,4.0
1254,3.0
3568,2.0
1443,2.5
4275,4.0
5329,4.0
2213,2.0
5046,4.0
4409,3.0
3961,3.0
3809,4.0
3569,4.0
4854,4.0
2199,4.0
