Q_ID,Query_Nodes,Query_Nodes_Count,Total_Distance,Average_Distance,Level
2572,"['Lower_abdominal_pain', 'Lack_of_growth']",2,4,4,B
1021,"['Feeling_ill', 'Hyperkalemia']",2,1,1,A
2461,"['Sleepiness', 'Difficulty_speaking', 'Depressive_or_psychotic_symptoms', 'Delusions_or_hallucinations']",4,20,3.333,B
4155,"['Ankle_pain', 'Ankle_swelling', 'Foot_or_toe_stiffness_or_tightness', 'Foot_or_toe_pain']",4,16,2.667,B
2534,"['Eye_burns_or_stings', 'Pain_in_eye', 'Itchy_eyelid', 'Bleeding_from_eye']",4,16,2.667,B
3346,"['Skin_growth', 'Foot_or_toe_pain', 'Nailbiting', 'Headache', 'Nausea']",5,36,3.6,B
2673,"['Peripheral_edema', 'Symptoms_of_eye', 'Diminished_hearing', 'Itching_of_skin', 'Neck_swelling']",5,36,3.6,B
3297,"['Infertility', 'Acne_or_pimples', 'Unpredictable_menstruation']",3,8,2.667,B
2423,"['Sweating', 'Feeling_ill', 'Fainting', 'Dizziness', 'Problems_with_movement']",5,30,3,B
4542,"['Diarrhea', 'Nasal_congestion']",2,2,2,A
1043,"['Liver_cancer', 'Adderall']",2,3,3,B
1572,"['Hoarse_voice', 'Lump_in_throat']",2,2,2,A
3445,"['Involuntary_urination', 'Blood_in_urine', 'Symptoms_of_prostate']",3,10,3.333,B
5448,"['Open_wound_of_the_hip', 'Knee_weakness', 'Diminished_hearing', 'Facial_pain', 'Neck_pain']",5,34,3.4,B
3106,"['Painful_sinuses', 'Sinus_congestion']",2,2,2,A
1426,"['Subdural_hemorrhage', 'Adderall']",2,3,3,B
5043,"['Excessive_growth', 'Ear_pain', 'Vulvar_irritation', 'Nosebleed', 'Pelvic_pressure']",5,42,4.2,C
4663,"['Eye_redness', 'Coughing_up_sputum', 'Nosebleed', 'Flu-like_syndrome']",4,22,3.667,B
2466,"['Skin_lesion', 'Skin_rash', 'Hand_or_finger_pain', 'Gum_pain']",4,24,4,B
3327,"['Blindness', 'Spots_or_clouds_in_vision', 'Diminished_vision']",3,6,2,A
4489,"['Lower_abdominal_pain', 'Painful_urination', 'Blood_in_urine', 'Back_pain', 'Frequent_urination']",5,20,2,A
4,"['Cryptorchidism', 'Pain_in_testicles', 'Hematologic_tests_(Blood_test)']",3,8,2.667,B
2490,"['Changes_in_stool_appearance', 'Symptoms_of_prostate']",2,2,2,A
2351,"['Pain_in_eye', 'Diminished_vision', 'Itchiness_of_eye']",3,6,2,A
1722,"['Seizures', 'Facial_pain', 'Hostile_behavior', 'Delusions_or_hallucinations', 'Sleepiness']",5,28,2.8,B
3522,"['Recent_pregnancy', 'Excessive_anger', 'Nasal_congestion']",3,10,3.333,B
4752,"['Loss_of_sensation', 'Neck_pain', 'Low_back_pain']",3,10,3.333,B
5364,"['Focal_weakness', 'Vaginal_discharge', 'Pain_during_intercourse', 'Painful_urination']",4,20,3.333,B
2640,"['Eye_burns_or_stings', 'Diminished_vision', 'Acne_or_pimples', 'Spots_or_clouds_in_vision', 'Eyelid_swelling']",5,30,3,B
3810,"['Slurring_words', 'Sharp_chest_pain', 'Fainting', 'Irregular_heartbeat']",4,18,3,B
3623,"['Gum_pain', 'Knee_swelling', 'Mouth_ulcer']",3,12,4,B
1751,"['Fever', 'Sharp_abdominal_pain']",2,2,2,A
4188,"['Fever', 'Anxiety_and_nervousness']",2,4,4,B
3877,"['Mouth_ulcer', 'Frontal_headache', 'Temper_problems', 'Arm_stiffness_or_tightness', 'Abnormal_appearing_tongue']",5,40,4,B
1391,"['Sharp_abdominal_pain', 'Lower_abdominal_pain', 'Constipation', 'Fever']",4,14,2.333,B
5398,"['Allergic_reaction', 'Abnormal_appearing_skin']",2,4,4,B
695,"['Pain_during_intercourse', 'Vaginal_pain', 'Pap_smear']",3,6,2,A
2325,"['Knee_lump_or_mass', 'Leg_swelling']",2,4,4,B
4223,"['Leg_cramps_or_spasms', 'Fatigue', 'Sharp_chest_pain', 'Lymphedema']",4,12,2,A
5439,"['Diminished_vision', 'Fluid_retention', 'Headache', 'Abnormal_involuntary_movements', 'Spots_or_clouds_in_vision']",5,30,3,B
5186,['Cough'],1,0,0,Z
5073,"['Open_wound_of_the_hip', 'Hand_or_finger_swelling']",2,3,3,B
2746,"['Blood_in_urine', 'Sharp_abdominal_pain', 'Symptoms_of_the_kidneys']",3,8,2.667,B
766,"['Leg_pain', 'Leg_swelling', 'Culture_wound', 'Unusual_color_or_odor_to_urine']",4,20,3.333,B
1925,"['Skin_swelling', 'Skin_dryness', 'peeling', 'scaliness', 'Knee_lump_or_mass']",5,28,2.8,B
2543,"['Knee_pain', 'Fluid_retention', 'Knee_swelling']",3,10,3.333,B
1632,"['Arm_stiffness_or_tightness', 'Difficulty_eating', 'Infant_feeding_problem']",3,6,2,A
1208,"['Mouth_ulcer', 'Adderall']",2,4,4,B
201,"['Low_back_pain', 'Leg_pain', 'Back_pain']",3,6,2,A
379,"['Weakness', 'Recent_weight_loss', 'Biopsy', 'Hematologic_tests_(Blood_test)']",4,18,3,B
3893,"['Low_back_pain', 'Headache', 'Problems_with_movement']",3,8,2.667,B
5008,"['Frontal_headache', 'Nasal_congestion']",2,2,2,A
597,"['Retinopathy_due_to_high_blood_pressure', 'Hematologic_tests_(Blood_test)']",2,3,3,B
3731,"['Sharp_abdominal_pain', 'Burning_abdominal_pain']",2,2,2,A
3396,['Gum_pain'],1,0,0,Z
5160,"['Abnormal_involuntary_movements', 'Problems_with_movement', 'Fainting', 'Blood_in_urine']",4,20,3.333,B
4716,"['Eyelid_lesion_or_rash', 'Skin_rash', 'Swollen_eye', 'Itchy_eyelid']",4,20,3.333,B
1593,"['Arm_swelling', 'Hand_or_finger_stiffness_or_tightness', 'Wrist_swelling', 'Wrist_pain']",4,12,2,A
3146,"['Muscle_pain', 'Shoulder_weakness']",2,4,4,B
4050,"['Regurgitation', 'Weight_gain', 'Heartburn', 'Rectal_bleeding']",4,20,3.333,B
3274,"['Vomiting', 'Chills', 'Emotional_symptoms']",3,10,3.333,B
1999,"['Symptoms_of_eye', 'Spots_or_clouds_in_vision', 'Swollen_eye', 'Diminished_vision']",4,12,2,A
1209,"['Fatigue', 'Weight_gain', 'Hyperkalemia']",3,10,3.333,B
5375,"['Drug_abuse', 'Arm_pain', 'Elbow_weakness']",3,12,4,B
46,"['Shortness_of_breath', 'Coughing_up_sputum', 'Emphysema']",3,6,2,A
874,"['Cornea_infection', 'Itchiness_of_eye', 'Pain_in_eye']",3,4,1.333,A
3483,"['Abnormal_appearing_skin', 'Pelvic_pain', 'Knee_pain']",3,8,2.667,B
1793,"['Vomiting', 'Wrist_weakness', 'Seizures']",3,6,2,A
1441,"['Bones_are_painful', 'Headache', 'Diminished_hearing', 'Excessive_growth', 'Levocetirizine_(Xyzal)']",5,34,3.4,B
4244,"['Leg_stiffness_or_tightness', 'Leg_pain', 'Knee_stiffness_or_tightness']",3,12,4,B
3806,"['Leg_swelling', 'Eyelid_swelling']",2,4,4,B
412,"['Toothache', 'Teething_syndrome']",2,3,3,B
4567,"['Painful_menstruation', 'Jaundice', 'Heavy_menstrual_flow', 'Swollen_abdomen']",4,22,3.667,B
2042,"['Sleepiness', 'Shortness_of_breath', 'Increased_heart_rate']",3,10,3.333,B
995,"['Other_therapeutic_procedures', 'Headache', 'Adderall']",3,10,3.333,B
3740,"['Frequent_urination', 'Blood_in_urine', 'Lower_abdominal_pain']",3,6,2,A
1093,"['Spondylitis', 'Elbow_pain']",2,3,3,B
3807,"['Arm_swelling', 'Eyelid_swelling', 'Skin_rash', 'Fluid_retention']",4,24,4,B
4352,"['Sharp_chest_pain', 'Sharp_abdominal_pain']",2,2,2,A
4579,['Sore_throat'],1,0,0,Z
4878,"['Chest_tightness', 'Fainting', 'Depressive_or_psychotic_symptoms', 'Dizziness', 'Sharp_chest_pain']",5,22,2.2,B
2600,"['Sharp_chest_pain', 'Headache']",2,2,2,A
3626,"['Gum_pain', 'Ear_pain', 'Headache', 'Toothache', 'Peripheral_edema']",5,34,3.4,B
5019,"['Pus_in_sputum', 'Back_weakness']",2,2,2,A
4136,"['Elbow_weakness', 'Difficulty_in_swallowing', 'Leg_stiffness_or_tightness', 'Itchy_eyelid']",4,24,4,B
3496,"['Pain_in_eye', 'Eye_burns_or_stings']",2,2,2,A
3653,"['Fainting', 'Dizziness', 'Palpitations', 'Increased_heart_rate', 'Weakness']",5,20,2,A
1304,"['Cholesteatoma', 'Shoulder_weakness']",2,5,5,C
3889,"['Knee_pain', 'Abusing_alcohol']",2,4,4,B
3687,"['Sore_throat', 'Headache', 'Coughing_up_sputum', 'Throat_swelling', 'Feeling_ill']",5,30,3,B
2124,"['Ear_pain', 'Fever', 'Diminished_hearing', 'Fluid_in_ear', 'Bleeding_from_ear']",5,22,2.2,B
2026,"['Elbow_cramps_or_spasms', 'Sharp_abdominal_pain', 'Diarrhea', 'Depressive_or_psychotic_symptoms', 'Delusions_or_hallucinations', 'Nausea']",6,38,2.533,B
5224,"['Weakness', 'Nausea']",2,2,2,A
2272,"['Low_back_pain', 'Problems_with_movement', 'Abnormal_involuntary_movements', 'Arm_pain', 'Neck_pain']",5,30,3,B
4271,"['Excessive_appetite', 'Leg_stiffness_or_tightness', 'Itching_of_the_anus']",3,14,4.667,C
3970,"['Cough', 'Excessive_anger', 'Problems_during_pregnancy', 'Ache_all_over', 'Eye_redness']",5,34,3.4,B
5135,"['Excessive_anger', 'Delusions_or_hallucinations', 'Seizures']",3,6,2,A
1960,"['Hot_flashes', 'Premenstrual_tension_or_irritability', 'Excessive_anger', 'Warts']",4,22,3.667,B
2250,"['Elbow_weakness', 'Feeling_hot_and_cold']",2,2,2,A
3604,"['Hand_or_finger_swelling', 'Fluid_retention']",2,4,4,B
635,"['Headache', 'Eye_moves_abnormally']",2,4,4,B
2341,"['Sleepiness', 'Unusual_color_or_odor_to_urine', 'Blood_in_urine']",3,12,4,B
1921,"['Excessive_urination_at_night', 'Shoulder_cramps_or_spasms']",2,2,2,A
2226,"['Seizures', 'Palpitations', 'Nausea', 'Shortness_of_breath']",4,16,2.667,B
2752,"['Pelvic_pain', 'Blood_clots_during_menstrual_periods']",2,2,2,A
2620,"['Skin_lesion', 'Irregular_appearing_scalp']",2,4,4,B
4425,"['Skin_growth', 'Warts', 'Lymphedema', 'Skin_lesion', 'Abnormal_appearing_skin']",5,26,2.6,B
661,"['Cough', 'Fever', 'Fatigue', 'Sharp_chest_pain', 'Difficulty_breathing', 'Hemoptysis']",6,40,2.667,B
1236,"['Uterine_fibroids', 'Adderall']",2,3,3,B
1895,['Dizziness'],1,0,0,Z
3138,"['White_discharge_from_eye', 'Itchiness_of_eye', 'Eyelid_swelling', 'Bleeding_from_eye']",4,18,3,B
1252,"['Arm_pain', 'Arm_swelling', 'Eye_redness', 'Fever', 'Chills']",5,36,3.6,B
1753,"['Sharp_abdominal_pain', 'Nausea']",2,2,2,A
527,['Viral_warts'],1,0,0,Z
3399,"['Groin_mass', 'Heavy_menstrual_flow']",2,4,4,B
3340,"['Hand_or_finger_weakness', 'Problems_with_movement', 'Seizures', 'Arm_stiffness_or_tightness']",4,22,3.667,B
2711,['Palpitations'],1,0,0,Z
4446,"['Ear_pain', 'Hoarse_voice', 'Sore_throat', 'Fever', 'Nasal_congestion']",5,22,2.2,B
3817,"['Abnormal_appearing_skin', 'Sharp_chest_pain']",2,4,4,B
3407,['Long_menstrual_periods'],1,0,0,Z
511,"['Irregular_heartbeat', 'Chest_tightness']",2,2,2,A
1695,"['Ache_all_over', 'Rib_pain', 'Fever', 'Sharp_chest_pain', 'Cough']",5,20,2,A
3442,"['Cramps_and_spasms', 'Rectal_bleeding']",2,4,4,B
3191,"['Long_menstrual_periods', 'Cough', 'Leg_pain']",3,12,4,B
4785,"['Knee_swelling', 'Elbow_swelling', 'Abnormal_appearing_skin', 'Feeling_ill']",4,20,3.333,B
161,"['Diminished_vision', 'Choledocholithiasis', 'Hematologic_tests_(Blood_test)']",3,6,2,A
4717,"['Knee_lump_or_mass', 'Skin_irritation', 'Acne_or_pimples']",3,12,4,B
3117,"['Fever', 'Mouth_dryness', 'Vomiting_blood']",3,12,4,B
3908,"['Difficulty_eating', 'Rib_pain', 'Sharp_chest_pain']",3,10,3.333,B
49,"['Recent_pregnancy', 'Too_little_hair', 'Restlessness', 'Teething_syndrome']",4,23,3.833,B
2882,"['Cough', 'Difficulty_breathing']",2,2,2,A
2447,"['Irregular_heartbeat', 'Breathing_fast']",2,2,2,A
3195,"['Fatigue', 'Fainting', 'Frequent_urination', 'Burning_chest_pain']",4,22,3.667,B
3433,['Emotional_symptoms'],1,0,0,Z
4410,"['Itchy_scalp', 'Itching_of_skin', 'Recent_pregnancy', 'Drug_abuse']",4,22,3.667,B
4474,"['Peripheral_edema', 'Back_pain', 'Fluid_retention', 'Weakness']",4,20,3.333,B
4942,"['Pain_during_pregnancy', 'Heavy_menstrual_flow', 'Spotting_or_bleeding_during_pregnancy', 'Blood_clots_during_menstrual_periods', 'Intermenstrual_bleeding']",5,24,2.4,B
1807,"['Fluid_retention', 'Chronic_pain_disorder']",2,3,3,B
4000,['Hand_or_finger_pain'],1,0,0,Z
1798,"['Blood_clots_during_menstrual_periods', 'Intermenstrual_bleeding', 'Cramps_and_spasms', 'Sharp_abdominal_pain', 'Spotting_or_bleeding_during_pregnancy']",5,20,2,A
2236,"['Chest_tightness', 'Shortness_of_breath', 'Fainting']",3,8,2.667,B
3571,"['Pelvic_pain', 'Intermenstrual_bleeding', 'Lack_of_growth', 'Hot_flashes', 'Weight_gain']",5,36,3.6,B
238,"['Drug_abuse', 'Oxycodone']",2,4,4,B
3186,"['Low_back_pain', 'Leg_pain', 'Loss_of_sensation', 'Headache']",4,14,2.333,B
2754,"['Back_pain', 'Sharp_abdominal_pain']",2,2,2,A
3313,"['Skin_rash', 'Itching_of_skin', 'Other_OR_therapeutic_procedures;_male_genital']",3,10,3.333,B
3829,"['Nausea', 'Dizziness', 'Shortness_of_breath', 'Wheezing', 'Nasal_congestion']",5,26,2.6,B
1046,"['Allergic_reaction', 'Itching_of_skin', 'Eye_redness', 'Difficulty_breathing']",4,22,3.667,B
5098,['Excessive_anger'],1,0,0,Z
221,"['Vaginal_yeast_infection', 'Skin_growth', 'Skin_lesion', 'Itching_of_skin', 'Arm_pain', 'Leg_pain']",6,49,3.267,B
3228,"['Lump_in_throat', 'Plugged_feeling_in_ear', 'Tongue_lesions']",3,12,4,B
4849,"['Weakness', 'Chest_tightness', 'Sharp_chest_pain', 'Increased_heart_rate']",4,16,2.667,B
4624,['Vomiting'],1,0,0,Z
5432,"['Low_back_weakness', 'Lack_of_growth']",2,4,4,B
223,"['Fatigue', 'Nausea', 'Decreased_appetite', 'Retention_of_urine']",4,18,3,B
688,"['Diminished_vision', 'Wrist_weakness', 'Problems_with_movement']",3,10,3.333,B
5266,"['Shoulder_cramps_or_spasms', 'Joint_stiffness_or_tightness', 'Skin_lesion']",3,10,3.333,B
3512,"['Lower_abdominal_pain', 'Sharp_abdominal_pain', 'Problems_during_pregnancy']",3,6,2,A
1112,"['Liver_cancer', 'Prednisone', 'Psychotherapy']",3,12,4,B
3783,"['Hurts_to_breath', 'Sweating', 'Congestion_in_chest']",3,12,4,B
1489,"['Skin_moles', 'Bumps_on_penis', 'Nausea', 'Headache']",4,20,3.333,B
2132,"['Feeling_hot_and_cold', 'Underweight', 'Symptoms_of_the_kidneys']",3,10,3.333,B
2682,"['Weakness', 'Fainting', 'Sharp_abdominal_pain', 'Fatigue']",4,16,2.667,B
1734,"['Double_vision', 'Bleeding_from_eye', 'Abnormal_movement_of_eyelid', 'Spots_or_clouds_in_vision']",4,12,2,A
3725,"['Pain_of_the_anus', 'Upper_abdominal_pain', 'Vomiting']",3,8,2.667,B
2678,"['Ankle_pain', 'Knee_swelling', 'Foot_or_toe_pain', 'Irregular_appearing_nails']",4,16,2.667,B
2765,"['Open_wound_of_the_hip', 'Incision_and_drainage_(I_d)', 'Wheezing']",3,10,3.333,B
2280,"['Muscle_swelling', 'Wrist_weakness', 'Nailbiting']",3,10,3.333,B
3454,"['Elbow_weakness', 'Muscle_cramps', 'contractures', 'or_spasms', 'Eyelid_lesion_or_rash', 'Skin_rash', 'Low_back_weakness', 'Blindness']",8,112,4,B
2067,"['Hoarse_voice', 'Diminished_hearing']",2,2,2,A
671,"['Weakness', 'Dizziness', 'Fluoxetine_(Prozac)']",3,10,3.333,B
3853,"['Pulling_at_ears', 'Itching_of_skin']",2,4,4,B
159,"['Symptoms_of_the_kidneys', 'Sleepiness', 'Decreased_appetite', 'Foot_or_toe_swelling']",4,26,4.333,C
427,"['Weakness', 'Irregular_appearing_nails', 'Crushing_injury']",3,10,3.333,B
2867,"['Itchy_eyelid', 'Allergic_reaction']",2,4,4,B
1837,"['Back_cramps_or_spasms', 'Low_back_cramps_or_spasms']",2,2,2,A
5326,"['Swollen_lymph_nodes', 'Heartburn', 'Smoking_problems', 'Leg_cramps_or_spasms', 'Pain_or_soreness_of_breast']",5,38,3.8,B
563,"['Weakness', 'Fever', 'Vaginitis', 'Amoxicillin']",4,21,3.5,B
5340,"['Hip_pain', 'Arm_swelling', 'Excessive_growth']",3,12,4,B
330,"['Fatigue', 'Abnormal_appearing_skin', 'Headache', 'Itching_of_skin', 'Arm_swelling']",5,30,3,B
255,"['Allergic_reaction', 'Nicotine', 'Skin_rash']",3,12,4,B
1634,"['Smoking_problems', 'Skin_rash']",2,4,4,B
167,"['Fever', 'Depression', 'Depressive_or_psychotic_symptoms']",3,10,3.333,B
5090,"['Nausea', 'Excessive_growth', 'Knee_lump_or_mass', 'Vaginal_pain']",4,22,3.667,B
1249,"['Lung_contusion', 'Adderall']",2,3,3,B
1955,"['Dry_or_flaky_scalp', 'Acne_or_pimples', 'Warts']",3,8,2.667,B
1035,"['Sleepiness', 'Insomnia']",2,2,2,A
3880,"['Difficulty_eating', 'Absence_of_menstruation']",2,4,4,B
938,"['Frequent_urination', 'Excessive_appetite', 'Eating_disorder', 'Diminished_vision', 'Insulin']",5,36,3.6,B
4621,"['Nausea', 'Dizziness']",2,2,2,A
1786,['Cough'],1,0,0,Z
2100,"['Knee_swelling', 'Elbow_pain', 'Shoulder_stiffness_or_tightness', 'Shoulder_pain', 'Hip_pain']",5,26,2.6,B
3022,"['Sleepiness', 'Headache']",2,2,2,A
1375,"['Liver_cancer', 'Adderall']",2,3,3,B
4964,"['Difficulty_in_swallowing', 'Elbow_weakness']",2,4,4,B
4975,"['Difficulty_breathing', 'Nasal_congestion']",2,2,2,A
1342,"['Cholesteatoma', 'Prednisolone']",2,3,3,B
2549,['Leg_pain'],1,0,0,Z
4741,"['Hemoptysis', 'Muscle_cramps', 'Involuntary_urination', 'Dizziness', 'Weight_gain']",5,36,3.6,B
211,"['Sharp_abdominal_pain', 'Stomach_bloating', 'Constipation', 'Diarrhea', 'Hemoptysis']",5,28,2.8,B
2556,"['Arm_cramps_or_spasms', 'Elbow_cramps_or_spasms', 'Lack_of_growth']",3,14,4.667,C
3075,"['Involuntary_urination', 'Focal_weakness', 'Excessive_urination_at_night', 'Retention_of_urine']",4,18,3,B
3250,"['Arm_swelling', 'Hand_or_finger_weakness']",2,4,4,B
1625,"['Ankle_pain', 'Knee_swelling', 'Bones_are_painful', 'Elbow_pain', 'Knee_lump_or_mass']",5,20,2,A
623,"['Ankle_pain', 'Ankle_swelling']",2,4,4,B
4851,"['Leg_cramps_or_spasms', 'Foot_or_toe_cramps_or_spasms', 'Chest_tightness', 'Fatigue']",4,18,3,B
5139,"['Insomnia', 'Depression', 'Anxiety_and_nervousness']",3,6,2,A
1990,['Leg_pain'],1,0,0,Z
835,"['Acute_sinusitis', 'Nasal_congestion', 'Headache', 'Sinus_congestion']",4,9,1.5,A
2471,"['Warts', 'Impotence']",2,4,4,B
4919,"['Ache_all_over', 'Muscle_pain']",2,2,2,A
4637,"['Bumps_on_penis', 'Groin_pain', 'Abnormal_appearing_skin', 'Frequent_urination', 'Vaginal_discharge']",5,32,3.2,B
337,"['Fracture_of_the_arm', 'Bleeding_from_ear']",2,5,5,C
2845,"['Symptoms_of_the_kidneys', 'Gum_pain']",2,6,6,C
4365,"['Upper_abdominal_pain', 'Lower_body_pain', 'Nausea', 'Sharp_chest_pain', 'Burning_abdominal_pain']",5,20,2,A
5420,"['Jaw_swelling', 'Lip_swelling', 'Gum_pain', 'Symptoms_of_the_face']",4,26,4.333,C
3036,"['Hand_or_finger_swelling', 'Paresthesia', 'Elbow_pain', 'Hand_or_finger_weakness']",4,22,3.667,B
565,"['Upper_abdominal_pain', 'Nausea', 'Cholesteatoma']",3,8,2.667,B
5305,"['Groin_pain', 'Shortness_of_breath', 'Arm_swelling']",3,10,3.333,B
2796,"['Depression', 'Abusing_alcohol', 'Abnormal_involuntary_movements']",3,8,2.667,B
104,"['Abdominal_distention', 'Lower_abdominal_pain', 'Headache']",3,10,3.333,B
4016,"['Suprapubic_pain', 'Lower_abdominal_pain']",2,2,2,A
865,"['Alopecia', 'Unwanted_hair']",2,3,3,B
3552,"['Weakness', 'Headache', 'Lack_of_growth']",3,10,3.333,B
2968,"['Diminished_vision', 'Apnea', 'Insomnia']",3,10,3.333,B
5207,"['Lump_in_throat', 'Sore_throat', 'Redness_in_ear']",3,10,3.333,B
3767,"['Arm_stiffness_or_tightness', 'Skin_irritation', 'Mouth_dryness', 'Joint_pain', 'Unpredictable_menstruation']",5,40,4,B
1254,"['Infectious_gastroenteritis', 'Adderall']",2,3,3,B
3568,"['Hand_or_finger_stiffness_or_tightness', 'Wrist_stiffness_or_tightness', 'Arm_stiffness_or_tightness', 'Hand_or_finger_pain']",4,12,2,A
1443,"['Back_pain', 'Hip_pain', 'Stiffness_all_over', 'Problems_with_movement', 'Abnormal_involuntary_movements']",5,28,2.8,B
4275,"['Knee_lump_or_mass', 'Arm_pain', 'Lower_body_pain', 'Skin_irritation']",4,24,4,B
5329,"['Painful_urination', 'Lower_body_pain', 'Blood_in_urine', 'Mass_in_scrotum']",4,22,3.667,B
2213,"['Irregular_heartbeat', 'Shortness_of_breath']",2,2,2,A
5046,"['Nosebleed', 'Knee_lump_or_mass', 'Vulvar_irritation', 'Chills']",4,22,3.667,B
4409,"['Skin_rash', 'Itching_of_skin', 'Abnormal_size_or_shape_of_ear', 'Skin_irritation', 'Skin_dryness', 'peeling', 'Abnormal_appearing_skin']",7,60,2.857,B
3961,"['Leg_pain', 'Abnormal_involuntary_movements', 'Foot_or_toe_lump_or_mass', 'Abnormal_appearing_skin', 'Neck_mass']",5,34,3.4,B
3809,"['Increased_heart_rate', 'Slurring_words', 'Sharp_chest_pain']",3,10,3.333,B
3569,"['Dry_or_flaky_scalp', 'Lack_of_growth']",2,4,4,B
4854,"['Ringing_in_ear', 'Elbow_cramps_or_spasms', 'Abnormal_breathing_sounds', 'Abnormal_appearing_skin', 'Nailbiting']",5,36,3.6,B
2199,"['Leg_pain', 'Ankle_pain']",2,4,4,B