Q_ID,Nodes_Amount
5239,13
913,18
205,11
2254,13
2007,17
1829,6
1144,5
840,9
4468,3
713,5
4838,15
3457,19
261,10
245,13
768,3
1792,6
1906,4
4140,11
4932,3
218,3
4598,18
1629,3
5324,13
4465,16
3437,19
1806,10
3680,13
4828,15
2279,11
54,9
1308,14
3463,11
2788,18
2277,18
1274,15
1764,12
2758,7
838,4
760,6
3113,10
793,5
2941,12
2818,14
4946,17
2167,14
356,21
3764,12
4393,15
1023,16
3101,9
646,8
4523,8
2402,18
5150,7
5067,5
2963,12
4730,6
1576,6
570,15
376,5
5418,11
1867,7
2371,5
654,13
1908,4
828,11
3114,5
2278,8
3715,10
5208,18
2989,17
1333,31
3033,11
2911,6
1717,11
2188,17
5309,20
585,13
4991,16
5202,15
1402,8
4376,12
2006,10
1339,3
3787,13
3109,14
2212,13
5243,7
4563,18
1800,13
2657,14
459,2
1877,6
263,20
2585,13
3287,6
2194,15
543,5
1729,4
4647,9
2578,14
1742,11
5370,23
4090,11
3242,5
5267,12
3759,21
1171,9
2170,15
2021,10
4599,14
4416,16
2153,16
4789,18
3510,15
4781,9
3272,4
2966,4
1797,6
1134,11
4175,16
4043,11
745,4
386,8
899,11
1253,11
5141,13
1311,13
3459,17
4886,12
521,11
3153,8
3127,3
4882,20
3835,18
4335,6
2060,17
4533,3
95,13
939,4
4399,14
2186,13
5251,15
2787,20
914,12
2405,3
3562,14
1296,16
3717,2
27,12
2158,3
4101,17
1464,6
4159,17
872,12
5123,13
2445,16
5235,14
4989,17
1630,13
3064,4
1324,19
4419,11
4345,14
5,13
4907,12
2656,14
4003,15
160,7
917,13
2974,15
2520,7
1962,14
475,11
1974,6
4648,17
702,7
3982,10
567,15
4364,11
1031,14
1052,14
5405,13
3894,7
4504,7
1353,19
2172,4
4323,15
4970,16
3467,10
1736,17
4418,3
1648,10
3269,13
3060,13
3589,7
4240,19
3699,14
992,14
2031,9
1841,4
525,7
2770,21
173,15
4820,18
4538,8
1886,5
4821,14
1805,5
59,4
582,8
5170,17
483,10
1876,7
258,3
2707,15
581,15
4212,21
1950,10
2282,7
3977,15
1756,6
1084,3
4678,11
4721,10
3873,9
1991,9
3875,17
3335,6
1560,11
773,13
795,2
5399,4
3532,17
2903,16
3470,18
3368,16
3826,10
444,5
5354,17
5294,18
807,3
497,18
3299,17
2780,4
896,8
2037,8
1570,9
1559,9
4394,14
3676,5
1149,13
1504,5
3790,13
2047,4
618,13
3631,3
4509,18
803,32
415,18
5343,10
4429,15
121,10
765,12
1937,15
1363,12
3330,14
3979,12
3944,13
1752,5
3286,17
481,14
1349,28
3105,4
18,2
3199,8
2173,6
3728,13
2337,18
3466,17
4553,12
5423,13
3987,9
1269,13
1556,6
2431,12
1784,17
480,13
4745,12
4442,3
500,13
2570,20
469,11
411,5
4786,12
3906,16
4120,6
4351,19
1290,18
466,15
4161,3
657,10
1523,5
562,19
4875,18
557,31
1927,17
3308,11
983,9
4667,17
2017,5
4743,20
4871,18
326,17
5074,14
672,11
3435,20
5386,8
4782,18
4631,16
4283,13
2592,12
2137,7
1674,8
2574,17
1956,3
2176,6
3243,11
1073,30
5288,22
2458,3
3746,5
2591,4
595,13
77,14
3755,7
5089,18
4613,11
820,13
601,5
4405,18
1747,17
4145,10
1086,11
2860,14
564,14
2002,7
3028,17
2335,22
1293,12
3590,9
4451,2
2479,16
5011,17
5358,17
65,11
4544,20
2453,12
5435,18
849,30
1101,26
946,15
877,15
2232,5
2309,3
4955,16
1726,10
2809,16
1668,13
5196,8
2163,23
4141,14
2058,14
417,6
757,14
5197,15
2267,17
362,20
30,14
2733,13
1072,6
5220,12
2146,14
3620,12
4520,7
3504,3
4595,9
80,19
617,11
1222,6
4470,14
296,11
3025,8
4772,13
4527,13
1214,15
3521,13
1045,9
343,13
2526,6
2988,3
327,17
2932,17
1721,7
2045,3
843,29
2898,19
4587,14
1267,4
1940,4
1332,15
1451,13
3378,16
204,7
1470,14
2722,18
3373,9
2033,7
1305,9
886,11
3134,13
318,6
3856,8
1823,6
1635,14
3771,14
2865,16
2501,18
1865,3
1827,13
194,15
5407,8
1583,3
3265,13
2690,15
2283,13
569,16
2287,14
2877,10
5256,14
4174,15
3275,18
2713,8
227,19
945,12
2140,10
1463,5
4757,2
2175,6
314,31
889,3
4888,14
3560,13
2832,5
3575,17
4967,11
4190,9
948,4
3156,15
4724,6
1558,3
2087,7
364,13
3573,18
14,24
4260,19
4411,4
1615,20
2984,9
3534,19
574,20
5442,18
2705,13
5105,14
2572,13
1021,2
2461,15
4155,13
2534,11
3346,16
2673,19
3297,14
2423,18
4542,3
1043,6
1572,3
3445,11
5448,15
3106,4
1426,13
5043,19
4663,18
2466,18
3327,7
4489,9
4,14
2490,3
2351,10
1722,13
3522,15
4752,12
5364,14
2640,15
3810,17
3623,15
1751,6
4188,10
3877,24
1391,10
5398,11
695,6
2325,10
4223,9
5439,16
5186,16
5073,11
2746,6
766,14
1925,15
2543,12
1632,4
1208,11
201,8
379,11
3893,13
5008,4
597,7
3731,9
3396,2
5160,19
4716,15
1593,7
3146,10
4050,19
3274,17
1999,9
1209,14
5375,15
46,5
874,9
3483,10
1793,7
1441,13
4244,14
3806,8
412,4
4567,14
2042,10
995,17
3740,7
1093,10
3807,16
4352,7
4579,8
4878,13
2600,5
3626,14
5019,4
4136,17
3496,4
3653,9
1304,16
3889,17
3687,19
2124,10
2026,16
5224,3
2272,17
4271,9
3970,20
5135,5
1960,9
2250,3
3604,11
635,5
2341,13
1921,4
2226,17
2752,4
2620,10
4425,15
661,16
1236,5
1895,18
3138,15
1252,17
1753,9
527,34
3399,13
3340,16
2711,7
4446,11
3817,15
3407,4
511,4
1695,10
3442,12
3191,15
4785,17
161,11
4717,16
3117,17
3908,14
49,16
2882,6
2447,3
3195,19
3433,6
4410,17
4474,17
4942,15
1807,13
4000,6
1798,9
2236,10
3571,12
238,13
3186,13
2754,8
3313,10
3829,13
1046,20
5098,9
221,19
3228,14
4849,11
4624,21
5432,16
223,15
688,14
5266,12
3512,9
1112,17
3783,14
1489,13
2132,10
2682,8
1734,6
3725,14
2678,15
2765,14
2280,15
3454,24
2067,4
671,10
3853,5
159,17
427,15
2867,14
1837,3
5326,23
563,13
5340,14
330,11
255,15
1634,16
167,12
5090,17
1249,13
1955,14
1035,3
3880,5
938,17
4621,5
1786,16
2100,12
3022,3
1375,6
4964,17
4975,5
1342,8
2549,12
4741,12
211,17
2556,17
3075,16
3250,11
1625,9
623,13
4851,14
5139,7
1990,12
835,7
2471,8
4919,3
4637,23
337,14
2845,15
4365,11
5420,18
3036,16
565,10
5305,14
2796,12
104,7
4016,6
865,5
3552,16
2968,17
5207,12
3767,23
1254,8
3568,8
1443,13
4275,18
5329,12
2213,6
5046,17
4409,18
3961,11
3809,13
3569,9
4854,16
2199,14
